epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
75,97.8157,0.72578,0.60069,1.22935,0.95835,0.77778,0.94625,0.64271,1.16317,1.17332,2.18375,0.0010232,0.0010232,0.0010232
76,99.5842,0.78717,0.69905,1.28357,1,0.87774,0.94225,0.6493,1.11082,1.16753,2.0559,0.00101,0.00101,0.00101
77,100.791,0.72366,0.60605,1.24933,1,0.87774,0.94225,0.6493,1.11082,1.16753,2.0559,0.0009968,0.0009968,0.0009968
78,101.998,0.82388,0.6483,1.28033,0.94904,0.88889,0.97628,0.68105,1.05074,1.05754,1.93398,0.0009836,0.0009836,0.0009836
79,103.174,0.70545,0.64164,1.22427,0.98831,1,0.995,0.67276,1.17884,1.07794,2.01756,0.0009704,0.0009704,0.0009704
80,104.295,0.66981,0.62549,1.18502,0.9383,0.94444,0.90116,0.55952,1.37479,1.12064,2.14266,0.0009572,0.0009572,0.0009572
81,105.641,0.73801,0.61695,1.21644,0.9383,0.94444,0.90116,0.55952,1.37479,1.12064,2.14266,0.000944,0.000944,0.000944
82,106.829,0.72619,0.60806,1.26634,0.9949,1,0.995,0.61028,1.26012,0.93232,2.15354,0.0009308,0.0009308,0.0009308
83,108.054,0.72095,0.63905,1.20765,0.99556,1,0.995,0.67289,1.09719,0.88923,2.06109,0.0009176,0.0009176,0.0009176
84,109.351,0.72755,0.63934,1.22574,0.99905,1,0.995,0.67909,1.05565,0.85276,2.06953,0.0009044,0.0009044,0.0009044
85,110.93,0.74296,0.63526,1.21161,0.99905,1,0.995,0.67909,1.05565,0.85276,2.06953,0.0008912,0.0008912,0.0008912
86,112.579,0.63651,0.61192,1.14546,0.99092,0.94444,0.98786,0.70115,1.04742,0.99144,2.06593,0.000878,0.000878,0.000878
87,114.227,0.67068,0.57357,1.19287,0.96713,0.94444,0.981,0.69933,1.04958,1.08226,2.02453,0.0008648,0.0008648,0.0008648
88,115.308,0.65469,0.60265,1.21281,0.92227,0.94444,0.97778,0.63994,1.12898,1.16814,2.07158,0.0008516,0.0008516,0.0008516
89,116.448,0.71704,0.65065,1.20534,0.92227,0.94444,0.97778,0.63994,1.12898,1.16814,2.07158,0.0008384,0.0008384,0.0008384
90,117.569,0.72736,0.72397,1.24763,0.90774,0.94444,0.97778,0.58877,1.2295,1.23294,2.18624,0.0008252,0.0008252,0.0008252
91,118.609,0.74038,0.65627,1.23217,0.94358,0.92969,0.97156,0.55001,1.33515,1.35139,2.27318,0.000812,0.000812,0.000812
92,119.743,0.71491,0.59328,1.18124,0.99614,0.88889,0.95853,0.54979,1.33067,1.47006,2.27852,0.0007988,0.0007988,0.0007988
93,120.814,0.65962,0.62344,1.17258,0.99614,0.88889,0.95853,0.54979,1.33067,1.47006,2.27852,0.0007856,0.0007856,0.0007856
94,121.926,0.67468,0.57592,1.21396,1,0.9418,0.97962,0.55328,1.33859,1.4106,2.30443,0.0007724,0.0007724,0.0007724
95,123.152,0.67511,0.58304,1.16792,0.96525,0.88889,0.97691,0.52938,1.32178,1.4302,2.29788,0.0007592,0.0007592,0.0007592
96,124.347,0.69892,0.6406,1.18926,0.97829,0.94444,0.99237,0.58741,1.30043,1.32147,2.28057,0.000746,0.000746,0.000746
97,125.993,0.76778,0.62352,1.23823,0.97829,0.94444,0.99237,0.58741,1.30043,1.32147,2.28057,0.0007328,0.0007328,0.0007328
98,127.581,0.70289,0.62186,1.17285,0.99766,1,0.995,0.6132,1.31002,1.19967,2.26386,0.0007196,0.0007196,0.0007196
99,129.216,0.59333,0.54068,1.11467,0.98891,1,0.995,0.63697,1.24944,1.16299,2.1978,0.0007064,0.0007064,0.0007064
100,130.327,0.65452,0.5727,1.11986,0.9923,1,0.995,0.65167,1.19775,1.03896,2.17783,0.0006932,0.0006932,0.0006932
101,131.394,0.68544,0.57743,1.20264,0.9923,1,0.995,0.65167,1.19775,1.03896,2.17783,0.00068,0.00068,0.00068
102,132.493,0.62183,0.56882,1.12444,0.99437,1,0.995,0.65518,1.21531,0.94825,2.16731,0.0006668,0.0006668,0.0006668
103,133.653,0.68566,0.56493,1.16251,0.99659,1,0.995,0.66722,1.2268,0.76366,2.218,0.0006536,0.0006536,0.0006536
104,134.737,0.61173,0.61441,1.13559,0.99855,1,0.995,0.64832,1.24921,0.75256,2.30053,0.0006404,0.0006404,0.0006404
105,135.964,0.57829,0.52922,1.12221,0.99855,1,0.995,0.64832,1.24921,0.75256,2.30053,0.0006272,0.0006272,0.0006272
106,136.995,0.57515,0.50104,1.09753,1,0.99902,0.995,0.64315,1.26023,0.79909,2.33833,0.000614,0.000614,0.000614
107,138.208,0.70831,0.60524,1.13537,0.99698,1,0.995,0.68484,1.16557,0.7409,2.26163,0.0006008,0.0006008,0.0006008
108,139.42,0.6755,0.58264,1.19415,0.99632,1,0.995,0.7062,1.08654,0.70963,2.18687,0.0005876,0.0005876,0.0005876
109,141.07,0.66192,0.58054,1.16903,0.99632,1,0.995,0.7062,1.08654,0.70963,2.18687,0.0005744,0.0005744,0.0005744
110,142.659,0.57728,0.53162,1.1258,0.99693,1,0.995,0.70319,1.0861,0.64337,2.23332,0.0005612,0.0005612,0.0005612
111,144.337,0.58629,0.58195,1.13338,0.99715,1,0.995,0.72298,1.07401,0.6181,2.21962,0.000548,0.000548,0.000548
112,145.364,0.55078,0.51166,1.07508,0.99695,1,0.995,0.69321,1.07086,0.65737,2.20062,0.0005348,0.0005348,0.0005348
113,146.601,0.66637,0.56103,1.17085,0.99695,1,0.995,0.69321,1.07086,0.65737,2.20062,0.0005216,0.0005216,0.0005216
114,147.83,0.57606,0.51357,1.12622,0.99684,1,0.995,0.67268,1.06667,0.7003,2.18204,0.0005084,0.0005084,0.0005084
115,148.876,0.54407,0.51078,1.11065,0.99676,1,0.995,0.68433,1.06707,0.6864,2.16059,0.0004952,0.0004952,0.0004952
116,149.852,0.67197,0.564,1.20804,0.99669,1,0.995,0.69802,1.13517,0.69161,2.21167,0.000482,0.000482,0.000482
117,150.931,0.52702,0.47589,1.07409,0.99669,1,0.995,0.69802,1.13517,0.69161,2.21167,0.0004688,0.0004688,0.0004688
118,152.088,0.6591,0.65481,1.20297,0.99668,1,0.995,0.66452,1.19804,0.70385,2.27097,0.0004556,0.0004556,0.0004556
119,153.122,0.48429,0.48441,1.06213,0.99671,1,0.995,0.65934,1.18881,0.66488,2.27078,0.0004424,0.0004424,0.0004424
120,154.442,0.60283,0.51866,1.141,0.99676,1,0.995,0.6834,1.15781,0.6604,2.26005,0.0004292,0.0004292,0.0004292
121,155.954,0.57673,0.49469,1.0998,0.99676,1,0.995,0.6834,1.15781,0.6604,2.26005,0.000416,0.000416,0.000416
122,157.534,0.59127,0.57424,1.13153,0.99662,1,0.995,0.6799,1.14624,0.63995,2.2805,0.0004028,0.0004028,0.0004028
123,159.163,0.58147,0.50457,1.10221,0.99663,1,0.995,0.69571,1.13744,0.61702,2.30897,0.0003896,0.0003896,0.0003896
124,160.214,0.478,0.4713,1.05098,0.99662,1,0.995,0.67504,1.13111,0.60923,2.30349,0.0003764,0.0003764,0.0003764
125,161.266,0.51312,0.47911,1.07515,0.99662,1,0.995,0.67504,1.13111,0.60923,2.30349,0.0003632,0.0003632,0.0003632
126,162.398,0.53217,0.50243,1.08111,0.99655,1,0.995,0.69811,1.12708,0.61615,2.30175,0.00035,0.00035,0.00035
127,163.472,0.64749,0.5422,1.13606,0.99641,1,0.995,0.69373,1.11694,0.6386,2.28743,0.0003368,0.0003368,0.0003368
128,164.508,0.52757,0.48864,1.1112,0.99629,1,0.995,0.68882,1.1203,0.68679,2.28038,0.0003236,0.0003236,0.0003236
129,165.654,0.57477,0.49749,1.11507,0.99629,1,0.995,0.68882,1.1203,0.68679,2.28038,0.0003104,0.0003104,0.0003104
130,166.748,0.58478,0.5009,1.12728,0.99545,1,0.995,0.69464,1.12006,0.72297,2.2731,0.0002972,0.0002972,0.0002972
131,167.877,0.57003,0.50407,1.09051,0.99505,1,0.995,0.6978,1.12231,0.74805,2.27013,0.000284,0.000284,0.000284
132,168.872,0.52744,0.48132,1.05411,0.99508,1,0.995,0.69681,1.13438,0.78698,2.29183,0.0002708,0.0002708,0.0002708
133,170.471,0.57965,0.4696,1.1331,0.99508,1,0.995,0.69681,1.13438,0.78698,2.29183,0.0002576,0.0002576,0.0002576
134,171.998,0.55945,0.52809,1.11368,0.99525,1,0.995,0.68313,1.14573,0.77797,2.29524,0.0002444,0.0002444,0.0002444
135,173.78,0.61874,0.55596,1.09743,0.99535,1,0.995,0.66155,1.16143,0.78177,2.30008,0.0002312,0.0002312,0.0002312
136,174.993,0.53347,0.52893,1.07598,0.99559,1,0.995,0.65621,1.17888,0.77738,2.3029,0.000218,0.000218,0.000218
137,176.105,0.53555,0.48954,1.06951,0.99559,1,0.995,0.65621,1.17888,0.77738,2.3029,0.0002048,0.0002048,0.0002048
138,177.255,0.53584,0.47337,1.0935,0.99578,1,0.995,0.65775,1.18263,0.76349,2.29951,0.0001916,0.0001916,0.0001916
139,178.374,0.47062,0.43607,1.0601,0.99568,1,0.995,0.66145,1.18503,0.73261,2.30199,0.0001784,0.0001784,0.0001784
140,179.422,0.52273,0.50017,1.07301,0.99565,1,0.995,0.66407,1.21406,0.6802,2.31891,0.0001652,0.0001652,0.0001652
141,181.989,0.43901,1.00102,1.19212,0.99565,1,0.995,0.66407,1.21406,0.6802,2.31891,0.000152,0.000152,0.000152
142,183.093,0.47889,1.21355,1.20347,0.996,1,0.995,0.68496,1.21224,0.65826,2.32934,0.0001388,0.0001388,0.0001388
143,184.477,0.5286,1.23156,1.19749,0.99624,1,0.995,0.67969,1.22491,0.65489,2.35266,0.0001256,0.0001256,0.0001256
144,186.103,0.39041,1.09545,1.11063,0.99672,1,0.995,0.68061,1.2193,0.63167,2.35761,0.0001124,0.0001124,0.0001124
145,187.6,0.49968,1.13504,1.23381,0.99672,1,0.995,0.68061,1.2193,0.63167,2.35761,9.92e-05,9.92e-05,9.92e-05
146,189.223,0.61502,1.04265,1.36595,0.99696,1,0.995,0.68221,1.21289,0.62565,2.34947,8.6e-05,8.6e-05,8.6e-05
147,190.239,0.42626,0.96079,1.16619,0.99704,1,0.995,0.68723,1.17519,0.64521,2.31327,7.28e-05,7.28e-05,7.28e-05
148,191.345,0.55796,1.02891,1.24736,0.99703,1,0.995,0.68825,1.17297,0.64454,2.31391,5.96e-05,5.96e-05,5.96e-05
149,192.338,0.36978,0.7288,1.09905,0.99703,1,0.995,0.68825,1.17297,0.64454,2.31391,4.64e-05,4.64e-05,4.64e-05
150,193.376,0.56823,1.00307,1.27417,0.99689,1,0.995,0.68546,1.17357,0.65712,2.30923,3.32e-05,3.32e-05,3.32e-05
